mof_name,temperature,pressure,h2_fraction,ch4_fraction,num_atoms,h2_molecules,ch4_molecules,total_molecules,selectivity,framework_density_g_cm3,accessible_surface_area_m2_g,void_fraction,accessible_volume_cm3_g,largest_included_sphere_diameter_angstrom,largest_free_sphere_diameter_angstrom,pore_limiting_diameter_angstrom
MOF_0361,298,35,0.75,0.25,272,23,3,26,2.555555555555556,1.210146,1396.95,0.0653,0.053958,5.03312,2.6658,5.00101
MOF_0361,298,25,0.65,0.35,272,24,3,27,4.307692307692308,1.210146,1396.95,0.0653,0.053958,5.03312,2.6658,5.00101
MOF_0362,298,60,0.98,0.02,272,38,16,54,0.048469387755102,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0362,298,50,0.9,0.1,272,38,16,54,0.2638888888888889,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0362,298,35,0.75,0.25,272,39,16,55,0.8125,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0362,298,25,0.65,0.35,272,37,17,54,1.171945701357466,0.935691,2761.86,0.23256,0.248531,6.28096,5.28433,5.75173
MOF_0369,298,60,0.98,0.02,536,91,38,129,0.0488721804511278,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0369,298,50,0.9,0.1,536,91,38,129,0.2660818713450292,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0369,298,35,0.75,0.25,536,91,39,130,0.7777777777777778,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0369,298,25,0.65,0.35,536,87,41,128,1.1425891181988743,0.632102,3778.83,0.38976,0.61661,10.38616,6.44431,9.73674
MOF_0375,298,60,0.98,0.02,52,6,1,7,0.1224489795918367,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0375,298,50,0.9,0.1,52,6,1,7,0.6666666666666667,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0375,298,35,0.75,0.25,52,6,1,7,2.0,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0375,298,25,0.65,0.35,52,6,1,7,3.230769230769231,1.660611,605.732,0.02312,0.013922,3.47607,3.1628,3.47508
MOF_0376,298,60,0.98,0.02,127,28,5,33,0.1142857142857142,0.76306,2891.58,0.30064,0.393957,9.03512,4.93908,9.03512
MOF_0376,298,50,0.9,0.1,127,26,6,32,0.4814814814814814,0.76306,2891.58,0.30064,0.393957,9.03512,4.93908,9.03512
MOF_0376,298,35,0.75,0.25,127,26,5,31,1.7333333333333334,0.76306,2891.58,0.30064,0.393957,9.03512,4.93908,9.03512
MOF_0376,298,25,0.65,0.35,127,28,4,32,3.769230769230769,0.76306,2891.58,0.30064,0.393957,9.03512,4.93908,9.03512
MOF_0380,298,60,0.98,0.02,216,57,22,79,0.0528756957328385,0.750187,3625.82,0.36506,0.486611,8.37161,7.49472,8.37161
MOF_0380,298,50,0.9,0.1,216,58,22,80,0.2929292929292929,0.750187,3625.82,0.36506,0.486611,8.37161,7.49472,8.37161
MOF_0380,298,35,0.75,0.25,216,59,21,80,0.9365079365079364,0.750187,3625.82,0.36506,0.486611,8.37161,7.49472,8.37161
MOF_0380,298,25,0.65,0.35,216,58,21,79,1.487179487179487,0.750187,3625.82,0.36506,0.486611,8.37161,7.49472,8.37161
MOF_0393,298,60,0.98,0.02,468,131,85,216,0.0314525810324129,0.466237,3772.61,0.61218,1.31298,14.37106,10.64638,14.37106
MOF_0393,298,50,0.9,0.1,468,134,85,219,0.1751633986928104,0.466237,3772.61,0.61218,1.31298,14.37106,10.64638,14.37106
MOF_0393,298,35,0.75,0.25,468,131,86,217,0.5077519379844961,0.466237,3772.61,0.61218,1.31298,14.37106,10.64638,14.37106
MOF_0393,298,25,0.65,0.35,468,131,86,217,0.8202146690518783,0.466237,3772.61,0.61218,1.31298,14.37106,10.64638,14.37106
MOF_0433,298,60,0.98,0.02,424,147,80,227,0.0375,0.408406,4917.86,0.60928,1.49185,14.64676,8.34983,14.63728
MOF_0433,298,50,0.9,0.1,424,148,84,232,0.1957671957671957,0.408406,4917.86,0.60928,1.49185,14.64676,8.34983,14.63728
MOF_0433,298,35,0.75,0.25,424,145,82,227,0.589430894308943,0.408406,4917.86,0.60928,1.49185,14.64676,8.34983,14.63728
MOF_0433,298,25,0.65,0.35,424,147,82,229,0.9652908067542214,0.408406,4917.86,0.60928,1.49185,14.64676,8.34983,14.63728
MOF_0448,298,60,0.98,0.02,272,38,16,54,0.048469387755102,0.935691,2762.35,0.23264,0.248617,6.29673,5.28475,5.75131
MOF_0448,298,50,0.9,0.1,272,38,16,54,0.2638888888888889,0.935691,2762.35,0.23264,0.248617,6.29673,5.28475,5.75131
MOF_0448,298,35,0.75,0.25,272,39,16,55,0.8125,0.935691,2762.35,0.23264,0.248617,6.29673,5.28475,5.75131
MOF_0448,298,25,0.65,0.35,272,37,17,54,1.171945701357466,0.935691,2762.35,0.23264,0.248617,6.29673,5.28475,5.75131
